기준시간,원본시간,제목,미리보기
1일 전,7시간 전,"""승부에 독한 삼성 정신 찾아라""...이재용 회장 '사즉생' 각오 주문","삼성전자는 최근 반도체 시장에서 고대역폭 메모리(HBM) 납품 지연 등으로 기대에 못 미치는 실적을 냈다. 올 1분기 영업이익 전망도 5조 원대 초반으로... 또 삼성글로벌리서치 산하에 신설한 경영진단실이 반도체 설계를 담당하는 시스템LSI 사업부에 대한 진단을 시작했으며, 디바이스경험(DX) 부문의 미래..."
1일 전,7시간 전,"이재용, ""사즉생의 각오""…삼성 임원들에게 경고성 메시지","특히, 이번 세미나는 삼성전자가 반도체 사업 부진과 메모리 제품의 납품 지연 등으로 실적 부진을 겪고 있는 상황에서 열렸다. 올해 1분기 삼성전자의 영업이익은 전년 동기 대비 감소할 것으로 전망되며, 주요 제품의 글로벌 시장 점유율도 하락세를 보였다. 이러한 상황은 이재용 회장의 경영 판단에 무게를..."
1일 전,7시간 전,기업 대관(對官)이 멈췄다,"재계에 따르면 여야 간 이견이 없는 주요 입법 과제는 ▷반도체산업 지원 강화(반도체특별법안) ▷첨단산업 지원기반 확대 및 기금 조성(산업은행법, 첨단전략산업기금법안) ▷재생에너지 입지규제 합리화 및 국산 설비사용 장려(신재생에너지법) ▷수소 공급 활성화를 위한 지원 확대(수소법) ▷입법영향분석..."
1일 전,7시간 전,"삼성자산, '삼성글로벌CoreAI목표전환형' 펀드 출시","주식은 반도체/인프라, 소프트웨어, 로보틱스 등 성장성이 높은 AI 핵심 테마 관련 기업에 집중 투자해 성과를 높일 계획이다. 이 펀드의 목표 수익률은 7%로 설정됐으며, 목표 달성 후에는 전체 포트폴리오를 채권 및 채권형 ETF로 전환해 6개월 후 환매한다. 현재 주도적인 AI 산업을 크게 ..."
1일 전,7시간 전,"[특징주] 삼성전자, 4% 넘게 장 초반 상승…반도체주 일제히 '껑충'","같은 시각 반도체 대장주인 SK하이닉스도 1.22% 오른 20만7000원을 나타내고 있으며, 삼성전자우(3.96%), 한미반도체(1.48%) 등 여타 반도체주도 일제히 강세다. 이는 젠슨 황 엔비디아 CEO가 오는 18일(현지시각) ‘GTC 2025’에서 삼성전자의 고대역폭메모리(HBM) 관련 긍정적 의견을 낼 것이란 기대가..."
1일 전,7시간 전,"곽동신 한미반도체 회장, 30억원 자사주 취득...""TC본더 자신감""","곽동신 한미반도체 회장 /사진=한미반도체곽동신 한미반도체 회장이 사재로 자사주 30억원 규모를 추가 취득하겠다고 17일 발표했다. 지난달에 이어 올해만 두번째 자사주 취득으로, 오는 4월 15일 장내 매수에 나설 계획이다. 이번 자사주 취득이 완료되면 곽 회장은 지난 2023년부터 총 423억원의..."
1일 전,7시간 전,[특징주] 엔비디아 GTC 기대감에 반도체주 동반 강세,엔비디아의 인공지능(AI) 개발자 콘퍼런스 'GTC 2025' 개최에 따른 기대감에 국내 반도체주도 강세를 보이고 있다. 17일 한국거래소에 따르면 오전 9시8분 기준 삼성전자의 주가는 5만6700원으로 전 거래일 대비 3.66% 올랐다. SK하이닉스도 0.24% 오른 20만5000원에 거래 중이다. 이처럼 국내 주가...
1일 전,7시간 전,"이재용 '독한 삼성인' 주문…""생존 문제 직면""","삼성전자는 HBM(고대역폭 메모리) 등 AI(인공지능) 반도체 대응에서 실기했다는 지적과 함께 지난해 TV, 스마트폰, D램 등 주요 사업도 세계 점유율이 전년보다 모두 하락하는 등 고전하고 있다. 최근 사업보고서에 따르면, 삼성전자 TV의 세계 시장점유율은 2023년 30.1%에서 지난해 28.3%로 하락했다. 같은 기간..."
1일 전,7시간 전,코스피·코스닥 상승 출발… 코스피 외인 '사자'에 2600선 눈앞,"반도체 대장주인 삼성전자는 4%대 상승 중이며 삼성바이오로직스는 강보합권에서 거래 중이다. 반면 SK하이닉스, LG에너지솔루션, 현대차, 셀트리온, 기아는 약보합권에서 거래 중이다. 이 시각 현재 코스닥 지수는 전 거래일 대비 1.69포인트 (0.23%) 오른 735.95를 나타내고 있다. 앞서 코스닥 지수는5...."
1일 전,7시간 전,"글로벌 물류 기업 FSK L&S, 美 '배터리 벨트' 최초 진출…수익성 강화 '...","이와 함께 올해 추진 예정인 중국·북미 반도체 낸드 물류 서비스 등 신규 사업을 발판 삼아 올해 매출과 영업이익 모두 큰 폭으로 성장시키겠다는 계획이다. 이번 계약을 통해 FSK L&S는 BOSK 배터리 공장 3곳*의 제조 지원을 위한 풀필먼트센터(주문, 포장, 배송까지 한꺼번에 담당하는 서비스형..."
